<http://www.yso.fi/onto/yso/p10104>	beslag (teknik)
<http://www.yso.fi/onto/yso/p10105>	nutidsdans
<http://www.yso.fi/onto/yso/p10106>	studielån
<http://www.yso.fi/onto/yso/p10107>	duvfåglar
<http://www.yso.fi/onto/yso/p10108>	etanol
<http://www.yso.fi/onto/yso/p10109>	hjärtmassage
<http://www.yso.fi/onto/yso/p1011>	bandtång
<http://www.yso.fi/onto/yso/p10110>	återupplivning
<http://www.yso.fi/onto/yso/p10111>	tårtor
<http://www.yso.fi/onto/yso/p10112>	Erb-Duchennes pares
<http://www.yso.fi/onto/yso/p10113>	bageriarbetare
<http://www.yso.fi/onto/yso/p10114>	bagare
<http://www.yso.fi/onto/yso/p10115>	artiklar (publikationer)
<http://www.yso.fi/onto/yso/p10116>	programförmedling
<http://www.yso.fi/onto/yso/p10117>	programbyråer
<http://www.yso.fi/onto/yso/p10118>	brandklassificeringar
<http://www.yso.fi/onto/yso/p10119>	hållbarhet (resistens)
<http://www.yso.fi/onto/yso/p1012>	bandtångsväxter
<http://www.yso.fi/onto/yso/p10120>	spanska sjukan
<http://www.yso.fi/onto/yso/p10121>	pandemier
<http://www.yso.fi/onto/yso/p10122>	anslutningar (tekniska objekt)
<http://www.yso.fi/onto/yso/p10123>	antologier
<http://www.yso.fi/onto/yso/p10124>	utvecklingsteorier
<http://www.yso.fi/onto/yso/p10125>	ekobalans
<http://www.yso.fi/onto/yso/p10126>	reservdelsförsäljare
<http://www.yso.fi/onto/yso/p10127>	trappor
<http://www.yso.fi/onto/yso/p10128>	storlom
<http://www.yso.fi/onto/yso/p10129>	isomeri
<http://www.yso.fi/onto/yso/p1013>	gudsbevis
<http://www.yso.fi/onto/yso/p10130>	kemiska bindningar
<http://www.yso.fi/onto/yso/p10131>	tautomeri
<http://www.yso.fi/onto/yso/p10132>	kommendörer för försvarsmakten
<http://www.yso.fi/onto/yso/p10133>	befälhavare för militären
<http://www.yso.fi/onto/yso/p10134>	leonberger
<http://www.yso.fi/onto/yso/p10136>	materialströmmar
<http://www.yso.fi/onto/yso/p10137>	trender
<http://www.yso.fi/onto/yso/p10138>	inriktningar
<http://www.yso.fi/onto/yso/p10139>	yrkesgrupper
<http://www.yso.fi/onto/yso/p10140>	professionalism
<http://www.yso.fi/onto/yso/p10141>	cystor
<http://www.yso.fi/onto/yso/p10142>	lantbrukskonsulenter
<http://www.yso.fi/onto/yso/p10144>	antal
<http://www.yso.fi/onto/yso/p10145>	selleri
<http://www.yso.fi/onto/yso/p10147>	Kyrönkangasvägen
<http://www.yso.fi/onto/yso/p10148>	laboratorieskötare
<http://www.yso.fi/onto/yso/p10149>	placeringstjänster
<http://www.yso.fi/onto/yso/p1015>	kultföremål
<http://www.yso.fi/onto/yso/p10150>	socialbidrag
<http://www.yso.fi/onto/yso/p10151>	maskinentreprenörer
<http://www.yso.fi/onto/yso/p10152>	salladsväxter
<http://www.yso.fi/onto/yso/p10154>	skridskobanor
<http://www.yso.fi/onto/yso/p10155>	plocksallad
<http://www.yso.fi/onto/yso/p10156>	myasthenia gravis
<http://www.yso.fi/onto/yso/p10157>	läkemedelsförsörjning
<http://www.yso.fi/onto/yso/p10158>	medicinaltjänst
<http://www.yso.fi/onto/yso/p10159>	meningokock
<http://www.yso.fi/onto/yso/p1016>	kulter
<http://www.yso.fi/onto/yso/p10160>	kadmium
<http://www.yso.fi/onto/yso/p10161>	barnspråk
<http://www.yso.fi/onto/yso/p10162>	språkutveckling
<http://www.yso.fi/onto/yso/p10163>	språktillägnande
<http://www.yso.fi/onto/yso/p10164>	narrativitet
<http://www.yso.fi/onto/yso/p10165>	marginalskatt
<http://www.yso.fi/onto/yso/p10166>	ukrainare
<http://www.yso.fi/onto/yso/p10167>	klassicism
<http://www.yso.fi/onto/yso/p10168>	imperativ
<http://www.yso.fi/onto/yso/p10169>	spårämnesanalys
<http://www.yso.fi/onto/yso/p1017>	magiska föremål
<http://www.yso.fi/onto/yso/p10170>	polarografi
<http://www.yso.fi/onto/yso/p10171>	kalorimetri
<http://www.yso.fi/onto/yso/p10172>	elementaranalys
<http://www.yso.fi/onto/yso/p10173>	kromatografi
<http://www.yso.fi/onto/yso/p10174>	fosfatanalys
<http://www.yso.fi/onto/yso/p10175>	kvalitativ analys
<http://www.yso.fi/onto/yso/p10176>	spektroskopi
<http://www.yso.fi/onto/yso/p10177>	spektrometri
<http://www.yso.fi/onto/yso/p10178>	termoanalys
<http://www.yso.fi/onto/yso/p10179>	läroinrättningar inom transportbranschen
<http://www.yso.fi/onto/yso/p1018>	föremål
<http://www.yso.fi/onto/yso/p10180>	gammaradiofotografering
<http://www.yso.fi/onto/yso/p10181>	röntgenundersökning
<http://www.yso.fi/onto/yso/p10183>	fakultetsbibliotek
<http://www.yso.fi/onto/yso/p10184>	universitetsbibliotek
<http://www.yso.fi/onto/yso/p10185>	internet-adresser
<http://www.yso.fi/onto/yso/p10186>	domännamn
<http://www.yso.fi/onto/yso/p10187>	adresser (kommunikation)
<http://www.yso.fi/onto/yso/p10188>	Frugård (Jorois)
<http://www.yso.fi/onto/yso/p10189>	räddningsverksamhet
<http://www.yso.fi/onto/yso/p1019>	Photo-Paint
<http://www.yso.fi/onto/yso/p10190>	räddningstjänst
<http://www.yso.fi/onto/yso/p10191>	Silmukka
<http://www.yso.fi/onto/yso/p10192>	latinska alfabetet
<http://www.yso.fi/onto/yso/p10194>	samhällsplanering (lokalsamhället)
<http://www.yso.fi/onto/yso/p10195>	undfallenhetsriktningen
<http://www.yso.fi/onto/yso/p10196>	musikkultur
<http://www.yso.fi/onto/yso/p10197>	fingerdjur
<http://www.yso.fi/onto/yso/p10198>	polyfoni
<http://www.yso.fi/onto/yso/p10199>	kompositionslära
<http://www.yso.fi/onto/yso/p1020>	redaktionschefer
<http://www.yso.fi/onto/yso/p10200>	homofoni
<http://www.yso.fi/onto/yso/p10201>	elegier
<http://www.yso.fi/onto/yso/p10202>	obundna tidningar
<http://www.yso.fi/onto/yso/p10203>	knäartroskopi
<http://www.yso.fi/onto/yso/p10204>	familjerådslag
<http://www.yso.fi/onto/yso/p10205>	samovarer
<http://www.yso.fi/onto/yso/p10206>	hushållsartiklar
<http://www.yso.fi/onto/yso/p10207>	tv-inspelning
<http://www.yso.fi/onto/yso/p10209>	lapptäcksarbeten
<http://www.yso.fi/onto/yso/p1021>	journalister
<http://www.yso.fi/onto/yso/p10210>	malfiskar
<http://www.yso.fi/onto/yso/p10211>	funktionsnedsatta
<http://www.yso.fi/onto/yso/p10212>	arbetsoförmåga
<http://www.yso.fi/onto/yso/p10213>	funktionsförmåga
<http://www.yso.fi/onto/yso/p10214>	arbetsförmåga
<http://www.yso.fi/onto/yso/p10215>	arbetshandikappade
<http://www.yso.fi/onto/yso/p10216>	baletter (verk)
<http://www.yso.fi/onto/yso/p10217>	dansverk
<http://www.yso.fi/onto/yso/p10218>	balett (konstarter)
<http://www.yso.fi/onto/yso/p10219>	penis
<http://www.yso.fi/onto/yso/p1022>	propylenglykol
<http://www.yso.fi/onto/yso/p10220>	arbetskraftsutbud
<http://www.yso.fi/onto/yso/p10221>	uthyrning
<http://www.yso.fi/onto/yso/p10222>	neuroblastom
<http://www.yso.fi/onto/yso/p10223>	evalueringsforskning
<http://www.yso.fi/onto/yso/p10224>	A-kliniker
<http://www.yso.fi/onto/yso/p10225>	inlärning i arbete
<http://www.yso.fi/onto/yso/p10226>	praktisk arbetslivsorientering
<http://www.yso.fi/onto/yso/p10227>	praktisk undervisning
<http://www.yso.fi/onto/yso/p10228>	signaturer
<http://www.yso.fi/onto/yso/p10229>	konstnärsnamn
<http://www.yso.fi/onto/yso/p1023>	glykol
<http://www.yso.fi/onto/yso/p10230>	pseudonymer
<http://www.yso.fi/onto/yso/p10231>	värmepannor
<http://www.yso.fi/onto/yso/p10232>	pannanläggningar
<http://www.yso.fi/onto/yso/p10233>	mjölkpulver
<http://www.yso.fi/onto/yso/p10234>	lag om rättshjälp
<http://www.yso.fi/onto/yso/p10235>	fastighetsskötsel
<http://www.yso.fi/onto/yso/p10236>	renhållning
<http://www.yso.fi/onto/yso/p10237>	ljuddesigner
<http://www.yso.fi/onto/yso/p10238>	plasmafysik
<http://www.yso.fi/onto/yso/p10239>	murare
<http://www.yso.fi/onto/yso/p1024>	brott mot mänskliga rättigheter
<http://www.yso.fi/onto/yso/p10240>	rapsodier
<http://www.yso.fi/onto/yso/p10241>	impromptun
<http://www.yso.fi/onto/yso/p10242>	serenader
<http://www.yso.fi/onto/yso/p10243>	toccator
<http://www.yso.fi/onto/yso/p10244>	intermezzon
<http://www.yso.fi/onto/yso/p10245>	etyder
<http://www.yso.fi/onto/yso/p10246>	konserter (kompositioner)
<http://www.yso.fi/onto/yso/p10247>	symfonier
<http://www.yso.fi/onto/yso/p10248>	telefonnät
<http://www.yso.fi/onto/yso/p10249>	unga arbetstagare
<http://www.yso.fi/onto/yso/p1025>	eko
<http://www.yso.fi/onto/yso/p10250>	progressiv rock
<http://www.yso.fi/onto/yso/p10251>	brödrostar
<http://www.yso.fi/onto/yso/p10252>	minoritetspolitik
<http://www.yso.fi/onto/yso/p10253>	migrationspolitik
<http://www.yso.fi/onto/yso/p10254>	utlänningspolitik
<http://www.yso.fi/onto/yso/p10255>	invandrarpolitik
<http://www.yso.fi/onto/yso/p10256>	biljard
<http://www.yso.fi/onto/yso/p10257>	snooker
<http://www.yso.fi/onto/yso/p10258>	pedagogikens historia
<http://www.yso.fi/onto/yso/p10259>	orre
<http://www.yso.fi/onto/yso/p1026>	spridning (fysik)
